id,cai_section,difficulty,time,km,ascent,download_link,description
293,Gubbio,E,2:30,6^6,662,https://www.caifabriano.it/wp/cpc/?wpfb_dl=314,dummy description
294,Gubbio,E,1:00,2^3,293,https://www.caifabriano.it/wp/cpc/?wpfb_dl=315,dummy description
295,Gubbio,E,1:20,3^1,430,https://www.caifabriano.it/wp/cpc/?wpfb_dl=316,dummy description
296,Gubbio,E,0:20,0^8,28,https://www.caifabriano.it/wp/cpc/?wpfb_dl=317,dummy description
297,Gubbio,E,1:45,3^1,357,https://www.caifabriano.it/wp/cpc/?wpfb_dl=318,dummy description
298,Gubbio,E,0:00,6^1,300,https://www.caifabriano.it/wp/cpc/?wpfb_dl=319,dummy description
127A,Fabriano,E,2:10,3^4,610,https://www.caifabriano.it/wp/cpc/?wpfb_dl=62,dummy description
127B,Fabriano,E,0:40,1,173,https://www.caifabriano.it/wp/cpc/?wpfb_dl=63,dummy description
127C,Fabriano,T,0:20,1^2,9,https://www.caifabriano.it/wp/cpc/?wpfb_dl=64,dummy description
127D.,Fabriano,T,0:30,1^5,68,https://www.caifabriano.it/wp/cpc/?wpfb_dl=65,dummy description
127E,Fabriano,E,1:30,5^1,469,https://www.caifabriano.it/wp/cpc/?wpfb_dl=66,dummy description
136A,Fabriano,E,1:20,2^6,504,https://www.caifabriano.it/wp/cpc/?wpfb_dl=91,dummy description
136B,Fabriano,E,1:10,2^8,337,https://www.caifabriano.it/wp/cpc/?wpfb_dl=92,dummy description
136C,Fabriano,E,2:00,4^9,261,https://www.caifabriano.it/wp/cpc/?wpfb_dl=93,dummy description
136D,Fabriano,E,1:00,2^4,289,https://www.caifabriano.it/wp/cpc/?wpfb_dl=94,dummy description
231B,Gubbio,E,0:35,1^1,120,https://www.caifabriano.it/wp/cpc/?wpfb_dl=228,dummy description
105,Fabriano,E,1:45,6^4,338,https://www.caifabriano.it/wp/cpc/?wpfb_dl=8,dummy description
106,Fabriano,E,6:00,21^2,911,https://www.caifabriano.it/wp/cpc/?wpfb_dl=13,dummy description
133,Fabriano,E,1:50,4^7,483,https://www.caifabriano.it/wp/cpc/?wpfb_dl=79,dummy description
137,Fabriano,E,3:40,9,847,https://www.caifabriano.it/wp/cpc/?wpfb_dl=95,dummy description
138,Fabriano,E,2:20,4^7,315,https://www.caifabriano.it/wp/cpc/?wpfb_dl=96,dummy description
181,Fabriano,E,1:00,3^3,319,https://www.caifabriano.it/wp/cpc/?wpfb_dl=184,dummy description
182,Fabriano,E,1:00,2^6,334,https://www.caifabriano.it/wp/cpc/?wpfb_dl=187,dummy description
183,Fabriano,E,2:00,4^3,483,https://www.caifabriano.it/wp/cpc/?wpfb_dl=189,dummy description
105A,Fabriano,E,0:50,2^9,254,https://www.caifabriano.it/wp/cpc/?wpfb_dl=9,dummy description
105B,Fabriano,E,1:00,1^9,368,https://www.caifabriano.it/wp/cpc/?wpfb_dl=10,dummy description
105C,Fabriano,E,0:20,0^9,117,https://www.caifabriano.it/wp/cpc/?wpfb_dl=11,dummy description
105D,Fabriano,T,0:15,0^9,49,https://www.caifabriano.it/wp/cpc/?wpfb_dl=12,dummy description
133A,Fabriano,T,0:30,1^3,151,https://www.caifabriano.it/wp/cpc/?wpfb_dl=80,dummy description
138A,Fabriano,E,0:30,1^2,230,https://www.caifabriano.it/wp/cpc/?wpfb_dl=97,dummy description
